density_bin,mean_tile_error,ci_lower,ci_upper,num_tiles
1-10,-4.56,-10.91926623859493,1.7992662385949316,25
11-20,-1.0076335877862594,-1.7506069007845064,-0.2646602747880126,262
21-30,-0.034013605442176874,-0.7942410808121863,0.7262138699278324,147
31-40,0.3125,-0.34683706396959857,0.9718370639695986,80
41-50,-0.4166666666666667,-1.59156429814119,0.7582309648078565,36
51-60,1.1764705882352942,-0.7341620177403554,3.0871031942109437,17
61-70,2.25,0.06649364553248915,4.433506354467511,8
71-80,0.6,-0.7293366766925523,1.9293366766925524,5
81-90,-0.3333333333333333,-2.0618908565621994,1.3952241898955329,3
91-100,0.0,0.0,0.0,1
