hex_id,n_tiles,mean_err,std_err,hex_area_m2,N_total_tiles,se_mean,ci_lo_mean,ci_hi_mean,total_err_est,se_total_est,ci_lo_total,ci_hi_total
0,0,,,649519.053,65,,,,,,,
1,0,,,649519.053,65,,,,,,,
2,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0,,649519.053,65,,,,0.0,,,
4,0,,,649519.053,65,,,,,,,
5,7,0.571,0.976,649519.053,65,0.369,-0.152,1.294,37.143,23.976,-9.849,84.135
6,10,0.5,1.509,649519.053,65,0.477,-0.435,1.435,32.5,31.022,-28.303,93.303
7,5,0.4,0.548,649519.053,65,0.245,-0.08,0.88,26.0,15.922,-5.206,57.206
8,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,0.0,,649519.053,65,,,,0.0,,,
10,0,,,649519.053,65,,,,,,,
11,0,,,649519.053,65,,,,,,,
12,3,0.667,0.577,649519.053,65,0.333,0.013,1.32,43.333,21.667,0.867,85.8
13,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
14,2,1.0,0.0,649519.053,65,0.0,1.0,1.0,65.0,0.0,65.0,65.0
15,4,2.0,2.16,649519.053,65,1.08,-0.117,4.117,130.0,70.208,-7.608,267.608
16,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
17,3,-12.333,13.65,649519.053,65,7.881,-27.78,3.114,-801.667,512.269,-1805.714,202.38
18,1,0.0,,649519.053,65,,,,0.0,,,
19,0,,,649519.053,65,,,,,,,
20,0,,,649519.053,65,,,,,,,
21,0,,,649519.053,65,,,,,,,
22,1,1.0,,649519.053,65,,,,65.0,,,
23,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
24,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
25,5,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,7,1.0,1.915,649519.053,65,0.724,-0.419,2.419,65.0,47.044,-27.205,157.205
27,4,-7.5,15.674,649519.053,65,7.837,-22.86,7.86,-487.5,509.397,-1485.918,510.918
28,2,-42.5,17.678,649519.053,65,12.5,-67.0,-18.0,-2762.5,812.5,-4355.0,-1170.0
29,0,,,649519.053,65,,,,,,,
30,0,,,649519.053,65,,,,,,,
