NAME,mean_tile_error,ci_lower,ci_upper,num_tiles
Beit Lahiya,1.1153846153846154,-0.2951741475418497,2.5259433783110805,26
Al Musaddar,0.7692307692307693,-0.14992586333376612,1.6883874017953047,13
Al Qaraya al Badawiya,0.5,-0.48,1.48,2
Khuza'a,0.4,-0.3840000000000001,1.1840000000000002,5
Al Mughraqa,0.13333333333333333,0.014862982167054645,0.251803684499612,60
Al Qarara,0.08333333333333333,-0.029622132218660363,0.19628879888532702,24
Al Fukhkhari,0.07692307692307693,-0.07384615384615384,0.2276923076923077,13
Wadi as Salqa,0.058823529411764705,-0.056470588235294134,0.17411764705882354,17
An Naser,0.05,-0.5271543622764508,0.6271543622764509,20
Al Zahra,0.0,0.0,0.0,2
Shokat as Sufi,-0.041666666666666664,-0.3178254024383152,0.23449206910498185,24
Jabalya,-0.18181818181818182,-1.1488299414287164,0.7851935777923529,44
Rafah,-0.2153846153846154,-0.8709294436608594,0.44016021289162865,130
Gaza,-0.38857142857142857,-1.432107584833054,0.6549647276901969,175
Al Bureij Camp,-0.4,-1.8014486622567296,1.0014486622567293,35
Al Maghazi Camp,-1.0,-2.6274772211195945,0.6274772211195943,20
Beit Hanoun,-1.36,-3.602980017744251,0.8829800177442506,25
An Nuseirat Camp,-2.15625,-4.819971995432633,0.5074719954326334,32
Az Zawayda,-5.222222222222222,-8.494468169925453,-1.9499762745189924,27
Khan Yunis,-5.663461538461538,-7.803608787662734,-3.5233142892603433,208
Deir al Balah,-8.169491525423728,-12.433295470664184,-3.9056875801832716,59
